StudyID,FigureNum,PanelNum,CaseName,CaseNum,X,OutcomeName,Direction,Y,CondName,CondNum
2005.SPR.34.2.220,1,1,Dyad A,1,1,Percentage of Treatment Steps Implemented by Teacher,increase,0,Pre-Training Baseline,0
2005.SPR.34.2.220,1,1,Dyad A,1,2,Percentage of Treatment Steps Implemented by Teacher,increase,0,Pre-Training Baseline,0
2005.SPR.34.2.220,1,1,Dyad A,1,3,Percentage of Treatment Steps Implemented by Teacher,increase,0,Pre-Training Baseline,0
2005.SPR.34.2.220,1,1,Dyad A,1,8,Percentage of Treatment Steps Implemented by Teacher,increase,86,Training,1
2005.SPR.34.2.220,1,1,Dyad A,1,9,Percentage of Treatment Steps Implemented by Teacher,increase,100,Training,1
2005.SPR.34.2.220,1,1,Dyad A,1,10,Percentage of Treatment Steps Implemented by Teacher,increase,100,Training,1
2005.SPR.34.2.220,1,1,Dyad A,1,11,Percentage of Treatment Steps Implemented by Teacher,increase,18,Implementation Baseline,2
2005.SPR.34.2.220,1,1,Dyad A,1,12,Percentage of Treatment Steps Implemented by Teacher,increase,27,Implementation Baseline,2
2005.SPR.34.2.220,1,1,Dyad A,1,14,Percentage of Treatment Steps Implemented by Teacher,increase,18,Implementation Baseline,2
2005.SPR.34.2.220,1,1,Dyad A,1,15,Percentage of Treatment Steps Implemented by Teacher,increase,18,Implementation Baseline,2
2005.SPR.34.2.220,1,1,Dyad A,1,18,Percentage of Treatment Steps Implemented by Teacher,increase,55,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,19,Percentage of Treatment Steps Implemented by Teacher,increase,100,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,20,Percentage of Treatment Steps Implemented by Teacher,increase,100,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,24,Percentage of Treatment Steps Implemented by Teacher,increase,73,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,25,Percentage of Treatment Steps Implemented by Teacher,increase,100,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,30,Percentage of Treatment Steps Implemented by Teacher,increase,100,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,31,Percentage of Treatment Steps Implemented by Teacher,increase,100,PF + SR-,3
2005.SPR.34.2.220,1,1,Dyad A,1,32,Percentage of Treatment Steps Implemented by Teacher,increase,100,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,33,Percentage of Treatment Steps Implemented by Teacher,increase,100,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,34,Percentage of Treatment Steps Implemented by Teacher,increase,83,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,35,Percentage of Treatment Steps Implemented by Teacher,increase,100,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,36,Percentage of Treatment Steps Implemented by Teacher,increase,83,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,37,Percentage of Treatment Steps Implemented by Teacher,increase,100,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,38,Percentage of Treatment Steps Implemented by Teacher,increase,100,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,41,Percentage of Treatment Steps Implemented by Teacher,increase,91,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,42,Percentage of Treatment Steps Implemented by Teacher,increase,100,Dynamic Fading,4
2005.SPR.34.2.220,1,1,Dyad A,1,1,Percentage of Intervals of Off-Task Behavior by Student,decrease,17,Pre-Training Baseline,0
2005.SPR.34.2.220,1,1,Dyad A,1,2,Percentage of Intervals of Off-Task Behavior by Student,decrease,53,Pre-Training Baseline,0
2005.SPR.34.2.220,1,1,Dyad A,1,3,Percentage of Intervals of Off-Task Behavior by Student,decrease,57,Pre-Training Baseline,0
2005.SPR.34.2.220,1,1,Dyad A,1,8,Percentage of Intervals of Off-Task Behavior by Student,decrease,57,Training,1
